
2025/04/05 (17:36:18) | ===> btop++ v.1.4.0
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/05 (17:36:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/05 (19:44:35) | ===> btop++ v.1.4.0
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/05 (19:44:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
